pair_order,municipality_id,municipality_name,internal_item_id,canonical_name,display_name,review_status,evidence_basis,category_id,category_name,condition,preparation,exception_destination,item_evidence_source_id,item_evidence_url,item_evidence_locator,checked_date,reviewer,note
62,M107,江田島市,I007,白色食品トレー,白いトレー,VERIFIED,OFFICIAL_CATEGORY_RULE,C-M107-01,燃えるごみ,白色食品トレイを含む家庭のプラスチック類,中身を除き、汚れを落とす,店頭回収を利用する場合は回収先の条件に従う,S-M107-01,https://www.city.etajima.hiroshima.jp/cms/articles/download/11923/1/R8_nihonngo.pdf,燃えるごみ欄（プラスチック類）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,市のプラスチック類収集ルールを適用。
63,M107,江田島市,I013,新聞,新聞,VERIFIED,DIRECT_ITEM,C-M107-06,資源ごみ（古紙・布類）,新聞・折込広告,種類別にまとめ、ひもで縛る,汚れた紙・禁忌紙は燃えるごみ,S-M107-01,https://www.city.etajima.hiroshima.jp/cms/articles/download/11923/1/R8_nihonngo.pdf,資源ごみ（古紙・布類）欄（新聞）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度改定版の区分欄を採用。
64,M107,江田島市,I004,アルミ缶,アルミ缶,VERIFIED,DIRECT_ITEM,C-M107-05,資源ごみ（びん・缶）,飲料・食品用のアルミ缶,中を洗う,スプレー缶は有害・危険ごみ,S-M107-01,https://www.city.etajima.hiroshima.jp/cms/articles/download/11923/1/R8_nihonngo.pdf,資源ごみ（びん・缶）欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度改定版の区分欄を採用。
65,M107,江田島市,I006,ガラスびん,びん,VERIFIED,DIRECT_ITEM,C-M107-05,資源ごみ（びん・缶）,飲料・食品用のガラスびん,ふたを外し、中を洗う,割れたびん等は燃えないごみ,S-M107-01,https://www.city.etajima.hiroshima.jp/cms/articles/download/11923/1/R8_nihonngo.pdf,資源ごみ（びん・缶）欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度改定版の区分欄を採用。
66,M107,江田島市,I031,電球,電球,UNRESOLVED,UNRESOLVED,,,,,,,,,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度版資料で『電球』の品目単位の分別先を確証できない。蛍光管の記載から推測しない。
67,M107,江田島市,I029,モバイルバッテリー,モバイルバッテリー,VERIFIED,DIRECT_ITEM,C-M107-08,有害・危険ごみ,家庭用モバイルバッテリー,端子をテープで絶縁する,膨張・破損品は市へ相談,S-M107-01,https://www.city.etajima.hiroshima.jp/cms/articles/download/11923/1/R8_nihonngo.pdf,有害・危険ごみ欄（モバイルバッテリー）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度改定版の品目例を採用。
68,M107,江田島市,I014,段ボール,段ボール,VERIFIED,DIRECT_ITEM,C-M107-06,資源ごみ（古紙・布類）,家庭から出るダンボール,折りたたみ、ひもで縛る,汚れた物は燃えるごみ,S-M107-01,https://www.city.etajima.hiroshima.jp/cms/articles/download/11923/1/R8_nihonngo.pdf,資源ごみ（古紙・布類）欄（ダンボール）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度改定版の区分欄を採用。
69,M107,江田島市,I033,使い捨てライター,ライター,UNRESOLVED,UNRESOLVED,,,,,,,,,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度版資料で『使い捨てライター』の品目単位の分別先を確証できない。危険物一般から推測しない。
70,M107,江田島市,I017,紙パック,牛乳パック,VERIFIED,DIRECT_ITEM,C-M107-06,資源ごみ（古紙・布類）,内側が白い紙パック,洗い、開いて乾かす,内側アルミ加工や汚れた物は燃えるごみ,S-M107-01,https://www.city.etajima.hiroshima.jp/cms/articles/download/11923/1/R8_nihonngo.pdf,資源ごみ（古紙・布類）欄（紙パック）,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度改定版の品目例を採用。
71,M109,海田町,I001,ペットボトル,ペットボトル,VERIFIED,DIRECT_ITEM,C-M109-07,ペットボトル,PETマークのある飲料・特定調味料用ボトル,中を洗い、キャップとラベルを外す,汚れが落ちない物は可燃ごみ,S-M109-01,https://www.town.kaita.lg.jp/uploaded/life/44980_122640_misc.pdf,1頁 資源物「ペットボトル」欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度公式PDFの専用子区分を採用。
72,M109,海田町,I007,白色食品トレー,白いトレー,VERIFIED,DIRECT_ITEM,C-M109-08,その他,白色の食品トレイ,洗って乾かす,白色以外又は汚れた物は可燃ごみ,S-M109-01,https://www.town.kaita.lg.jp/uploaded/life/44980_122640_misc.pdf,1頁 資源物「その他」白色トレイ欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度公式PDFの品目例を採用。
73,M109,海田町,I013,新聞,新聞,VERIFIED,DIRECT_ITEM,C-M109-06,紙・布類,新聞・折込広告,種類別にまとめ、ひもで縛る,汚れた紙・禁忌紙は可燃ごみ,S-M109-01,https://www.town.kaita.lg.jp/uploaded/life/44980_122640_misc.pdf,1頁 資源物「紙・布類」新聞欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度公式PDFの品目例を採用。
74,M109,海田町,I004,アルミ缶,アルミ缶,VERIFIED,DIRECT_ITEM,C-M109-04,缶・金属類,飲料・食品用のアルミ缶,中を洗う,スプレー缶は穴を開けず同欄の個別条件に従う,S-M109-01,https://www.town.kaita.lg.jp/uploaded/life/44980_122640_misc.pdf,1頁 資源物「缶・金属類」欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度公式PDFの子区分を採用。
75,M109,海田町,I006,ガラスびん,びん,VERIFIED,DIRECT_ITEM,C-M109-05,ビン類,飲料・食品用のガラスびん,ふたを外し、中を洗う,割れたびん等は埋立ごみ,S-M109-01,https://www.town.kaita.lg.jp/uploaded/life/44980_122640_misc.pdf,1頁 資源物「ビン類」欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度公式PDFの子区分を採用。
76,M109,海田町,I031,電球,電球,UNRESOLVED,UNRESOLVED,,,,,,,,,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度版資料で『電球』の品目単位の分別先を確証できない。蛍光管の記載から推測しない。
77,M109,海田町,I029,モバイルバッテリー,モバイルバッテリー,VERIFIED,DIRECT_ITEM,C-M109-09,有害ごみ,家庭用モバイルバッテリー,端子をテープで絶縁する,膨張・破損品は町へ相談,IS-M109-03,https://www.town.kaita.lg.jp/img/koenokouhou/202404/22.html,モバイルバッテリー・小型充電式電池欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,町の専用公式案内を採用。
78,M109,海田町,I014,段ボール,段ボール,VERIFIED,DIRECT_ITEM,C-M109-06,紙・布類,家庭から出るダンボール,折りたたみ、種類別にまとめる,汚れた物は可燃ごみ,S-M109-01,https://www.town.kaita.lg.jp/uploaded/life/44980_122640_misc.pdf,1頁 資源物「紙・布類」ダンボール欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度公式PDFの品目例を採用。
79,M109,海田町,I033,使い捨てライター,ライター,UNRESOLVED,UNRESOLVED,,,,,,,,,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度版資料で『使い捨てライター』の品目単位の分別先を確証できない。危険物一般から推測しない。
80,M109,海田町,I017,紙パック,牛乳パック,VERIFIED,DIRECT_ITEM,C-M109-06,紙・布類,内側が白い紙パック,洗い、開いて乾かす,内側アルミ加工や汚れた物は可燃ごみ,S-M109-01,https://www.town.kaita.lg.jp/uploaded/life/44980_122640_misc.pdf,1頁 資源物「紙・布類」紙パック欄,2026-08-24,OPENAI_CODEX_IMAGE_MAPPING_PILOT_V1,令和8年度公式PDFの品目例を採用。
